code,description,tipped_industry_tier
170,Crop production,3
180,Animal production and aquaculture,3
190,Forestry except logging,3
270,Logging,3
280,"Fishing, hunting and trapping",3
290,Support activities for agriculture and forestry,3
370,Oil and gas extraction,3
380,Coal mining,3
390,Metal ore mining,3
470,Nonmetallic mineral mining and quarrying,3
490,Support activities for mining and not specified type of mining,3
770,Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),3
1070,"Animal food, grain and oilseed milling",3
1080,Sugar and confectionery products,3
1090,Fruit and vegetable preserving and specialty food manufacturing,3
1170,Dairy product manufacturing,3
1180,Animal slaughtering and processing,3
1190,Retail bakeries,2
1270,"Bakeries and tortilla manufacturing, except retail bakeries",3
1280,"Seafood and other miscellaneous foods, n.e.c.",3
1290,Not specified food industries,3
1370,Beverage manufacturing,3
1390,Tobacco manufacturing,3
1470,"Fiber, yarn, and thread mills",3
1480,"Fabric mills, except knitting mills",3
1490,Textile and fabric finishing and fabric coating mills,3
1570,Carpet and rug mills,3
1590,"Textile product mills, except carpet and rug",3
1670,"Knitting fabric mills, and apparel knitting mills",3
1691,"Cut and sew, and apparel accessories and other apparel manufacturing",3
1770,Footwear manufacturing,3
1790,"Leather and hide tanning and finishing, and other leather and allied product manufacturing",3
1870,"Pulp, paper, and paperboard mills",3
1880,Paperboard container manufacturing,3
1890,Miscellaneous paper and pulp products,3
1990,Printing and related support activities,3
2070,Petroleum refining,3
2090,Miscellaneous petroleum and coal products,3
2170,"Resin, synthetic rubber, and fibers and filaments manufacturing",3
2180,Agricultural chemical manufacturing,3
2190,Pharmaceutical and medicine manufacturing,3
2270,"Paint, coating, and adhesive manufacturing",2
2280,"Soap, cleaning compound, and cosmetics manufacturing",3
2290,Industrial and miscellaneous chemicals,3
2370,Plastics product manufacturing,3
2380,Tire manufacturing,3
2390,"Rubber products, except tires, manufacturing",3
2470,"Pottery, ceramics, and plumbing fixture manufacturing",3
2480,Clay building material and refractories manufacturing,3
2490,Glass and glass product manufacturing,3
2570,"Cement, concrete, lime, and gypsum product manufacturing",3
2590,Miscellaneous nonmetallic mineral product manufacturing,3
2670,Iron and steel mills and steel product manufacturing,3
2680,Aluminum production and processing,3
2690,Nonferrous metal (except aluminum) production and processing,3
2770,Foundries,3
2780,Metal forgings and stampings,3
2790,Cutlery and hand tool manufacturing,3
2870,"Structural metals, and boiler, tank, and shipping container manufacturing",3
2880,"Machine shops; turned product; screw, nut, and bolt manufacturing",3
2890,"Coating, engraving, heat treating, and allied activities",3
2970,Ordnance,3
2980,Miscellaneous fabricated metal products manufacturing,3
2990,Not specified metal industries,3
3070,Agricultural implement manufacturing,3
3080,"Construction, and mining and oil and gas field machinery manufacturing",3
3095,Commercial and service industry machinery manufacturing,3
3170,Metalworking machinery manufacturing,3
3180,"Engine, turbine, and power transmission equipment manufacturing",3
3291,"Machinery manufacturing, n.e.c. or not specified",3
3365,Computer and peripheral equipment manufacturing,3
3370,"Communications, audio, and video equipment manufacturing",3
3380,"Navigational, measuring, electromedical, and control instruments manufacturing",3
3390,"Electronic component and product manufacturing, n.e.c.",3
3470,Household appliance manufacturing,3
3490,"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3
3570,Motor vehicles and motor vehicle equipment manufacturing,3
3580,Aircraft and parts manufacturing,3
3590,Aerospace products and parts manufacturing,3
3670,Railroad rolling stock manufacturing,3
3680,Ship and boat building,3
3690,Other transportation equipment manufacturing,3
3770,Sawmills and wood preservation,3
3780,"Veneer, plywood, and engineered wood products",3
3790,Prefabricated wood buildings and mobile homes manufacturing,3
3875,Miscellaneous wood products,3
3895,Furniture and related product manufacturing,3
3960,Medical equipment and supplies manufacturing,3
3970,"Sporting and athletic goods, and doll, toy and game manufacturing",3
3980,"Miscellaneous manufacturing, n.e.c.",3
3990,Not specified manufacturing industries,3
4070,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,3
4080,Furniture and home furnishing merchant wholesalers,3
4090,Lumber and other construction materials merchant wholesalers,3
4170,Professional and commercial equipment and supplies merchant wholesalers,3
4180,"Metals and minerals, except petroleum, merchant wholesalers",3
4195,Household appliances and electrical and electronic goods merchant wholesalers,3
4265,"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",3
4270,"Machinery, equipment, and supplies merchant wholesalers",2
4280,Recyclable material merchant wholesalers,3
4290,Miscellaneous durable goods merchant wholesalers,3
4370,Paper and paper products merchant wholesalers,3
4380,"Drugs, sundries, and chemical and allied products merchant wholesalers",3
4390,"Apparel, piece goods, and notions merchant wholesalers",3
4470,Grocery and related product merchant wholesalers,3
4480,Farm product raw material merchant wholesalers,3
4490,Petroleum and petroleum products merchant wholesalers,2
4560,Alcoholic beverages merchant wholesalers,3
4570,Farm supplies merchant wholesalers,3
4580,Miscellaneous nondurable goods merchant wholesalers,3
4585,Wholesale electronic markets and agents and brokers,3
4590,Not specified wholesale trade,3
4670,Automobile dealers,3
4680,Other motor vehicle dealers,3
4690,"Automotive parts, accessories, and tire stores",3
4770,Furniture and home furnishings stores,3
4780,Household appliance stores,3
4795,Electronics stores,3
4870,Building material and supplies dealers,3
4880,Hardware stores,3
4890,Lawn and garden equipment and supplies stores,3
4971,Supermarkets and Other Grocery (except Convenience) Stores,3
4972,Convenience Stores,3
4980,Specialty food stores,2
4990,"Beer, wine, and liquor stores",3
5070,Pharmacies and drug stores,3
5080,"Health and personal care, except drug, stores",3
5090,Gasoline stations,3
5170,Clothing stores,3
5180,Shoe stores,3
5190,"Jewelry, luggage, and leather goods stores",2
5275,"Sporting goods, and hobby and toy stores",3
5280,"Sewing, needlework, and piece goods stores",3
5295,Musical instrument and supplies stores,3
5370,Book stores and news dealers,3
5381,Department stores,3
5391,"General merchandise stores, including warehouse clubs and supercenters",3
5470,Florists,2
5480,Office supplies and stationery stores,3
5490,Used merchandise stores,3
5570,"Gift, novelty, and souvenir shops",3
5580,Miscellaneous retail stores,2
5593,Electronic shopping and mail-order houses,3
5670,Vending machine operators,3
5680,Fuel dealers,3
5690,Other direct selling establishments,3
5790,Not specified retail trade,3
6070,Air transportation,3
6080,Rail transportation,3
6090,Water transportation,3
6170,Truck transportation,3
6180,Bus service and urban transit,3
6190,Taxi and limousine service,2
6270,Pipeline transportation,3
6280,Scenic and sightseeing transportation,2
6290,Services incidental to transportation,3
6370,Postal Service,3
6380,Couriers and messengers,1
6390,Warehousing and storage,3
570,"Electric power generation, transmission and distribution",3
580,Natural gas distribution,3
590,"Electric and gas, and other combinations",3
670,"Water, steam, air-conditioning, and irrigation systems",3
680,Sewage treatment facilities,3
690,Not specified utilities,3
6470,Newspaper publishers,3
6480,"Periodical, book, and directory publishers",3
6490,Software publishers,3
6570,Motion pictures and video industries,3
6590,Sound recording industries,3
6670,Broadcasting (except internet),3
6672,Internet publishing and broadcasting and web search portals,3
6680,Wired telecommunications carriers,3
6690,"Telecommunications, except wired telecommunications carriers",3
6695,"Data processing, hosting, and related services",3
6770,Libraries and archives,3
6780,"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",3
6870,Banking and related activities,3
6880,"Savings institutions, including credit unions",3
6890,Nondepository credit and related activities,3
6970,"Securities, commodities, funds, trusts, and other financial investments",3
6991,Insurance carriers,3
6992,"Agencies, brokerages, and other insurance related activities",3
7071,"Lessors of real estate, and offices of real estate agents and brokers",3
7072,"Real estate property managers, offices of real estate appraisers, and other activities related to real estate",3
7080,Automotive equipment rental and leasing,3
7181,Other consumer goods rental,3
7190,"Commercial, industrial, and other intangible assets rental and leasing",3
7270,Legal services,3
7280,"Accounting, tax preparation, bookkeeping, and payroll services",3
7290,"Architectural, engineering, and related services",3
7370,Specialized design services,3
7380,Computer systems design and related services,3
7390,"Management, scientific, and technical consulting services",3
7460,Scientific research and development services,3
7470,"Advertising, public relations, and related services",3
7480,Veterinary services,3
7490,"Other professional, scientific, and technical services",3
7570,Management of companies and enterprises,3
7580,Employment services,3
7590,Business support services,3
7670,Travel arrangements and reservation services,3
7680,Investigation and security services,3
7690,Services to buildings and dwellings (except cleaning during construction and immediately after construction),3
7770,Landscaping services,3
7780,Other administrative and other support services,3
7790,Waste management and remediation services,3
7860,Elementary and secondary schools,3
7870,"Colleges, universities, and professional schools, including junior colleges",3
7880,"Business, technical, and trade schools and training",3
7890,"Other schools and instruction, and educational support services",3
7970,Offices of physicians,3
7980,Offices of dentists,3
7990,Offices of chiropractors,3
8070,Offices of optometrists,3
8080,Offices of other health practitioners,3
8090,Outpatient care centers,3
8170,Home health care services,3
8180,Other health care services,3
8191,Hospitals,3
8192,Psychiatric and substance abuse hospitals,3
8270,Nursing care facilities (skilled nursing facilities),3
8290,"Residential care facilities, except skilled nursing facilities",3
8370,Individual and family services,3
8380,"Community food and housing, and emergency services",3
8390,Vocational rehabilitation services,3
8470,Child day care services,3
8561,Performing arts companies,3
8562,Spectator sports,3
8563,"Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures",3
8564,"Independent artists, writers, and performers",2
8570,"Museums, art galleries, historical sites, and similar institutions",3
8580,Bowling centers,2
8590,"Other amusement, gambling, and recreation industries",2
8660,Traveler accommodation,2
8670,"Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps",3
8680,Restaurants and other food services,1
8690,"Drinking places, alcoholic beverages",1
8770,Automotive repair and maintenance,3
8780,Car washes,2
8790,Electronic and precision equipment repair and maintenance,3
8870,Commercial and industrial machinery and equipment repair and maintenance,3
8891,Personal and household goods repair and maintenance,3
8970,Barber shops,2
8980,Beauty salons,2
8990,Nail salons and other personal care services,2
9070,Drycleaning and laundry services,3
9080,"Funeral homes, and cemeteries and crematories",3
9090,Other personal services,2
9160,Religious organizations,3
9170,"Civic, social, advocacy organizations, and grantmaking and giving services",3
9180,Labor unions,3
9190,"Business, professional, political, and similar organizations",3
9290,Private households,3
9370,Executive offices and legislative bodies,3
9380,Public finance activities,3
9390,Other general government and support,3
9470,"Justice, public order, and safety activities",3
9480,Administration of human resource programs,3
9490,Administration of environmental quality and housing programs,3
9570,Administration of economic programs and space research,3
9590,National security and international affairs,3
9890,Active duty military,3
