earn_dec,weighted_n,n_rec,p,mean,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100
1,662685.6121084084,87,0.042564129098234024,0.4255005637680631,9.60614793467819e-4,0.0338164251207729,0.0490196078431373,0.143516575744859,0.202388180530257,0.333333333333333,0.386100386100386,0.627240143369176,1,1,1
2,672303.7790537666,87,0.04305288556252253,0.3566398463583409,4.34593654932638e-4,0.0191991223258365,0.0623009829710647,0.106640125124413,0.142857142857143,0.20729428965965402,0.328780981284775,0.518070803009745,0.722690632817567,1,1
3,480963.808958275,65,0.03104549046380733,0.26627682848690165,6.1938680706101e-4,0.0118490801371999,0.030267945749255704,0.055674936511037304,0.101332929415329,0.143988341025018,0.21415270018622,0.380164365181417,0.5,0.773278917409516,1
4,389288.9915254917,49,0.02501791395386808,0.32545582498274395,6.42596088196313e-4,0.00979991833401388,0.0496923805016564,0.0924846258286079,0.177652091944021,0.249422632794457,0.324534833405452,0.382236379125153,0.499417346429166,1,1
5,321125.45724700834,41,0.020633295723252884,0.27609597719464046,3.2865907099035934e-4,0.0017361613472612054,0.009091939047187447,0.0196078431372549,0.11431557631381259,0.11824376886454865,0.23585444846637454,0.4510017083398043,0.6326194398682042,0.660538338746078,1
6,253611.59827066667,31,0.016118480765464516,0.3065296448412479,2.4866343404202412e-5,0.00929032258064516,0.011001100110011002,0.07549430796884361,0.13043478260869565,0.2673596073336221,0.41726503909366525,0.47299960583366185,0.6053421444245466,0.8383205644691801,0.8985847290517435
7,253353.964441775,34,0.01647248716669708,0.22905301065531145,2.05180815593742e-4,0.0035493717611982676,0.012185940646064956,0.050786246332104434,0.07438434013891812,0.1791436931467585,0.24351797587050095,0.30049456396986707,0.41460802266523855,0.6280114774511396,0.7536548479247185
8,189937.740556675,27,0.012209010563679389,0.1209110142143534,1.988895334383028e-4,0.001701717316391792,0.003061932691915137,0.01639344262295082,0.036057150583675125,0.045682990766559246,0.06112752022601772,0.08884150675195451,0.1442426234897674,0.3875405706534903,0.8933433295189992
9,179360.95650223334,20,0.01152992103003745,0.2720621814704409,0.0010245507985092786,0.0036574661074807373,0.014778325123152709,0.03352610845696086,0.10560588602175544,0.1307787876806382,0.18234772698493099,0.40623731957567677,0.6286909676583298,0.7650974958602278,0.8357327427094869
10,65293.40310138333,9,0.004197524399052821,0.2101506253682194,7.251763084900017e-4,7.251763084900017e-4,0.002043742002748685,0.005418879375745096,0.006006301693580149,0.017837787618841163,0.4062492523386846,0.4062492523386846,0.4910459307243506,0.5309568480300187,0.5852548857408748
total,3467925.3117656833,450,0.022289709475147326,0.3132783908918729,2.48663434042024e-5,0.007252946509519489,0.0277754815243449,0.0658237568909246,0.11969839773798299,0.187061574434918,0.303974466144844,0.42476579902963,0.60575466935891,0.8648440878297219,1
