h_bucket,h_midpoint,pi_g,pi_n,g_bar_per_txn,basis_sales_ratio
Under 18 months,1.25,0.07815729328398653,0.2545417507362138,0.9756668585301529,0.8478328330650043
18 months under 2 years,1.75,0.05951143771348301,0.16309565186556255,1.1594422681618384,0.816057458232703
2 years under 3 years,2.5,0.09154678901185183,0.20789368360334604,1.3992421882846875,0.8021013607528408
3 years under 4 years,3.5,0.07536757017277804,0.11952028024661612,2.003705916338421,0.8060933128473601
4 years under 5 years,4.5,0.06768254134094626,0.07563827020569046,2.843322608174083,0.7693845730205952
5 years under 10 years,7.5,0.19085833056925872,0.1268460482593168,4.781071607052045,0.770253613744043
10 years under 15 years,12.5,0.1275835868721576,0.02905456730639997,13.95312435796815,0.6358599451460517
15 years under 20 years,17.5,0.09357586122691225,0.01128463853020869,26.349188832653546,0.5146618879371707
20 years or more,27.5,0.2157165898086258,0.012125109246645465,56.53129771823412,0.41336120762839623
