year,index
1926,0.0791230665
1927,0.1087863042
1928,0.1562280114
1929,0.1430736128
1930,0.1074482833
1931,0.0608801973
1932,0.0558941091
1933,0.0860713387
1934,0.0848319114
1935,0.1252712835
1936,0.1677633029
1937,0.1089958179
1938,0.1429153164
1939,0.1423293636
1940,0.1284095519
1941,0.1135268848
1942,0.1366182532
1943,0.1720023807
1944,0.2059728509
1945,0.2810293578
1946,0.2583502886
1947,0.2731020901
1948,0.2881227051
1949,0.3422609614
1950,0.4507919122
1951,0.5590721295
1952,0.6617736797
1953,0.6552221203
1954,1.0000000000
1955,1.3156000000
1956,1.4019033600
1957,1.2507781778
1958,1.7931155957
1959,2.0075722209
1960,2.0170078104
1961,2.5593812106
1962,2.3359472309
1963,2.8685431995
1964,3.3412791188
1965,3.7572683691
1966,3.3792871712
1967,4.1896402348
1968,4.6530144448
1969,4.2575082170
1970,4.4282342965
1971,5.0619146243
1972,6.0226660200
1973,5.1397431815
1974,3.7792531613
1975,5.1851353374
1976,6.4212716018
1977,5.9602243008
1978,6.3512150149
1979,7.5223790637
1980,9.9611343561
1981,9.4720426592
1982,11.5132678523
1983,14.1106610797
1984,14.9953995294
1985,19.7534398001
1986,23.4414070108
1987,24.6720808789
1988,28.7701135129
1989,37.8873624851
1990,36.7128542481
1991,47.8992609374
1992,51.5491846209
1993,56.7453424306
1994,57.4943809507
1995,79.1007693120
1996,97.2623059461
1997,129.7090112097
1998,166.7798466134
1999,201.8703263408
2000,183.5001266438
2001,161.6819615859
2002,125.9502480754
2003,162.0727792234
2004,179.7062976029
2005,188.5298768152
2006,218.2987443643
2007,230.2833454300
2008,145.0785076209
2009,183.4662807374
2010,211.0963026164
2011,215.5504346016
2012,250.0385041379
2013,331.0259756281
2014,376.3434316916
2015,381.5369710489
2016,427.1687927864
2017,520.4197402517
2018,497.6253556286
2019,654.3275801161
2020,774.7238548575
2021,997.1470735871
2022,816.5637385604
2023,1031.2383454280
2024,1289.2541794541
2025,1519.7728267404
